County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd,Location,ClientLocator,SiteID
King,West Green Lake Beach,L58820-9,8,10/07/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58696-9,8,09/30/2013,Microcystin,0.420,0.160,No,No,,,213
King,West Green Lake Beach,L58695-9,8,09/23/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58695-9,8,09/23/2013,Microcystin,0.227,0.160,No,No,,,213
King,West Green Lake Beach,L58556-12,8,09/16/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58555-12,8,09/09/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58555-12,8,09/09/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58424-12,8,09/03/2013,Microcystin,0.175,0.160,No,No,,,213
King,West Green Lake Beach,L58423-12,8,08/26/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58423-12,8,08/26/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58354-12,8,08/19/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58288-12,8,08/12/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58288-12,8,08/12/2013,Microcystin,0.182,0.160,No,No,,,213
King,West Green Lake Beach,L58287-12,8,08/05/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58286-12,8,07/29/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58286-12,8,07/29/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58256-12,8,07/22/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58165-12,8,07/15/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58165-12,8,07/15/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58099-12,8,07/08/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58097-12,8,07/01/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58097-12,8,07/01/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58064-12,8,06/24/2013,Microcystin,<MDL,0.160,No,No,,,213
King,West Green Lake Beach,L58025-12,8,06/17/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L58025-12,8,06/17/2013,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L58024-12,8,06/10/2013,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L57933-12,8,06/03/2013,Anatoxin-a,<MDL,0.010,No,No,,,213
King,West Green Lake Beach,L57933-12,8,06/03/2013,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L57932-12,8,05/28/2013,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L56603-9,8,10/22/2012,Microcystin,0.053,0.050,No,No,,,213
King,West Green Lake Beach,L56601-9,8,10/15/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56601-9,8,10/15/2012,Microcystin,0.069,0.050,No,No,,,213
King,West Green Lake Beach,L56600-9,8,10/08/2012,Microcystin,0.065,0.050,No,No,,,213
King,West Green Lake Beach,L56414-12,8,10/01/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56414-12,8,10/01/2012,Microcystin,0.074,0.050,No,No,,,213
King,West Green Lake Beach,L56371-12,8,09/17/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56371-12,8,09/17/2012,Microcystin,0.062,0.050,No,No,,,213
King,West Green Lake Beach,L56370-12,8,09/10/2012,Microcystin,0.057,0.050,No,No,,,213
King,West Green Lake Beach,L56369-12,8,09/04/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56369-12,8,09/04/2012,Microcystin,0.145,0.050,No,No,,,213
King,West Green Lake Beach,L56224-12,8,08/27/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56224-12,8,08/27/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L56223-12,8,08/20/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L56154-12,8,08/13/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L56154-12,8,08/13/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L56123-12,8,08/06/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55974-12,8,07/30/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L55974-12,8,07/30/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55973-12,8,07/23/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55952-12,8,07/16/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L55952-12,8,07/16/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55910-12,8,07/09/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55909-12,8,07/02/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
King,West Green Lake Beach,L55909-12,8,07/02/2012,Microcystin,<MDL,0.050,No,No,,,213
King,West Green Lake Beach,L55908-12,8,06/25/2012,Anatoxin-a,<MDL,0.019,No,No,,,213
